GaussianDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
rgb_clean,mini,assatigue,wst,2,,,FAILED
rgb_clean,mini,assatigue,wst,5,,,FAILED
rgb_clean,mini,assatigue,wst,10,,,FAILED
rgb_clean,mini,assatigue,wst,20,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,2,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,5,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,10,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,20,,,FAILED
rgb_clean,mini,assatigue,hybrid,2,,,FAILED
rgb_clean,mini,assatigue,hybrid,5,,,FAILED
rgb_clean,mini,assatigue,hybrid,10,,,FAILED
rgb_clean,mini,assatigue,hybrid,20,,,FAILED
rgb_clean,mini,popolar,wst,2,,,FAILED
rgb_clean,mini,popolar,wst,5,,,FAILED
rgb_clean,mini,popolar,wst,10,,,FAILED
rgb_clean,mini,popolar,wst,20,,,FAILED
rgb_clean,mini,popolar,advanced_stats,2,,,FAILED
rgb_clean,mini,popolar,advanced_stats,5,,,FAILED
rgb_clean,mini,popolar,advanced_stats,10,,,FAILED
rgb_clean,mini,popolar,advanced_stats,20,,,FAILED
rgb_clean,mini,popolar,hybrid,2,,,FAILED
rgb_clean,mini,popolar,hybrid,5,,,FAILED
rgb_clean,mini,popolar,hybrid,10,,,FAILED
rgb_clean,mini,popolar,hybrid,20,,,FAILED
rgb_clean,mini,sunset,wst,2,,,FAILED
rgb_clean,mini,sunset,wst,5,,,FAILED
rgb_clean,mini,sunset,wst,10,,,FAILED
rgb_clean,mini,sunset,wst,20,,,FAILED
rgb_clean,mini,sunset,advanced_stats,2,,,FAILED
rgb_clean,mini,sunset,advanced_stats,5,,,FAILED
rgb_clean,mini,sunset,advanced_stats,10,,,FAILED
rgb_clean,mini,sunset,advanced_stats,20,,,FAILED
rgb_clean,mini,sunset,hybrid,2,,,FAILED
rgb_clean,mini,sunset,hybrid,5,,,FAILED
rgb_clean,mini,sunset,hybrid,10,,,FAILED
rgb_clean,mini,sunset,hybrid,20,,,FAILED
rgb_clean,small,assatigue,wst,2,,,FAILED
rgb_clean,small,assatigue,wst,5,,,FAILED
rgb_clean,small,assatigue,wst,10,,,FAILED
rgb_clean,small,assatigue,wst,20,,,FAILED
rgb_clean,small,assatigue,advanced_stats,2,,,FAILED
rgb_clean,small,assatigue,advanced_stats,5,,,FAILED
rgb_clean,small,assatigue,advanced_stats,10,,,FAILED
rgb_clean,small,assatigue,advanced_stats,20,,,FAILED
rgb_clean,small,assatigue,hybrid,2,,,FAILED
rgb_clean,small,assatigue,hybrid,5,,,FAILED
rgb_clean,small,assatigue,hybrid,10,,,FAILED
rgb_clean,small,assatigue,hybrid,20,,,FAILED
rgb_clean,small,popolar,wst,2,,,FAILED
rgb_clean,small,popolar,wst,5,,,FAILED
rgb_clean,small,popolar,wst,10,,,FAILED
rgb_clean,small,popolar,wst,20,,,FAILED
rgb_clean,small,popolar,advanced_stats,2,,,FAILED
rgb_clean,small,popolar,advanced_stats,5,,,FAILED
rgb_clean,small,popolar,advanced_stats,10,,,FAILED
rgb_clean,small,popolar,advanced_stats,20,,,FAILED
rgb_clean,small,popolar,hybrid,2,,,FAILED
rgb_clean,small,popolar,hybrid,5,,,FAILED
rgb_clean,small,popolar,hybrid,10,,,FAILED
rgb_clean,small,popolar,hybrid,20,,,FAILED
rgb_clean,small,sunset,wst,2,,,FAILED
rgb_clean,small,sunset,wst,5,,,FAILED
rgb_clean,small,sunset,wst,10,,,FAILED
rgb_clean,small,sunset,wst,20,,,FAILED
rgb_clean,small,sunset,advanced_stats,2,,,FAILED
rgb_clean,small,sunset,advanced_stats,5,,,FAILED
rgb_clean,small,sunset,advanced_stats,10,,,FAILED
rgb_clean,small,sunset,advanced_stats,20,,,FAILED
rgb_clean,small,sunset,hybrid,2,,,FAILED
rgb_clean,small,sunset,hybrid,5,,,FAILED
rgb_clean,small,sunset,hybrid,10,,,FAILED
rgb_clean,small,sunset,hybrid,20,,,FAILED
rgb_clean,original,assatigue,wst,2,,,FAILED
rgb_clean,original,assatigue,wst,5,,,FAILED
rgb_clean,original,assatigue,wst,10,,,FAILED
rgb_clean,original,assatigue,wst,20,,,FAILED
rgb_clean,original,assatigue,advanced_stats,2,,,FAILED
rgb_clean,original,assatigue,advanced_stats,5,,,FAILED
rgb_clean,original,assatigue,advanced_stats,10,,,FAILED
rgb_clean,original,assatigue,advanced_stats,20,,,FAILED
rgb_clean,original,assatigue,hybrid,2,,,FAILED
rgb_clean,original,assatigue,hybrid,5,,,FAILED
rgb_clean,original,assatigue,hybrid,10,,,FAILED
rgb_clean,original,assatigue,hybrid,20,,,FAILED
rgb_clean,original,popolar,wst,2,,,FAILED
rgb_clean,original,popolar,wst,5,,,FAILED
rgb_clean,original,popolar,wst,10,,,FAILED
rgb_clean,original,popolar,wst,20,,,FAILED
rgb_clean,original,popolar,advanced_stats,2,,,FAILED
rgb_clean,original,popolar,advanced_stats,5,,,FAILED
rgb_clean,original,popolar,advanced_stats,10,,,FAILED
rgb_clean,original,popolar,advanced_stats,20,,,FAILED
rgb_clean,original,popolar,hybrid,2,,,FAILED
rgb_clean,original,popolar,hybrid,5,,,FAILED
rgb_clean,original,popolar,hybrid,10,,,FAILED
rgb_clean,original,popolar,hybrid,20,,,FAILED
rgb_clean,original,sunset,wst,2,,,FAILED
rgb_clean,original,sunset,wst,5,,,FAILED
rgb_clean,original,sunset,wst,10,,,FAILED
rgb_clean,original,sunset,wst,20,,,FAILED
rgb_clean,original,sunset,advanced_stats,2,,,FAILED
rgb_clean,original,sunset,advanced_stats,5,,,FAILED
rgb_clean,original,sunset,advanced_stats,10,,,FAILED
rgb_clean,original,sunset,advanced_stats,20,,,FAILED
rgb_clean,original,sunset,hybrid,2,,,FAILED
rgb_clean,original,sunset,hybrid,5,,,FAILED
rgb_clean,original,sunset,hybrid,10,,,FAILED
rgb_clean,original,sunset,hybrid,20,,,FAILED
rgb_gaussian30,mini,assatigue,wst,2,,,FAILED
rgb_gaussian30,mini,assatigue,wst,5,,,FAILED
rgb_gaussian30,mini,assatigue,wst,10,,,FAILED
rgb_gaussian30,mini,assatigue,wst,20,,,FAILED
rgb_gaussian30,mini,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian30,mini,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian30,mini,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian30,mini,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian30,mini,assatigue,hybrid,2,,,FAILED
rgb_gaussian30,mini,assatigue,hybrid,5,,,FAILED
rgb_gaussian30,mini,assatigue,hybrid,10,,,FAILED
rgb_gaussian30,mini,assatigue,hybrid,20,,,FAILED
rgb_gaussian30,mini,popolar,wst,2,,,FAILED
rgb_gaussian30,mini,popolar,wst,5,,,FAILED
rgb_gaussian30,mini,popolar,wst,10,,,FAILED
rgb_gaussian30,mini,popolar,wst,20,,,FAILED
rgb_gaussian30,mini,popolar,advanced_stats,2,,,FAILED
rgb_gaussian30,mini,popolar,advanced_stats,5,,,FAILED
rgb_gaussian30,mini,popolar,advanced_stats,10,,,FAILED
rgb_gaussian30,mini,popolar,advanced_stats,20,,,FAILED
rgb_gaussian30,mini,popolar,hybrid,2,,,FAILED
rgb_gaussian30,mini,popolar,hybrid,5,,,FAILED
rgb_gaussian30,mini,popolar,hybrid,10,,,FAILED
rgb_gaussian30,mini,popolar,hybrid,20,,,FAILED
rgb_gaussian30,mini,sunset,wst,2,,,FAILED
rgb_gaussian30,mini,sunset,wst,5,,,FAILED
rgb_gaussian30,mini,sunset,wst,10,,,FAILED
rgb_gaussian30,mini,sunset,wst,20,,,FAILED
rgb_gaussian30,mini,sunset,advanced_stats,2,,,FAILED
rgb_gaussian30,mini,sunset,advanced_stats,5,,,FAILED
rgb_gaussian30,mini,sunset,advanced_stats,10,,,FAILED
rgb_gaussian30,mini,sunset,advanced_stats,20,,,FAILED
rgb_gaussian30,mini,sunset,hybrid,2,,,FAILED
rgb_gaussian30,mini,sunset,hybrid,5,,,FAILED
rgb_gaussian30,mini,sunset,hybrid,10,,,FAILED
rgb_gaussian30,mini,sunset,hybrid,20,,,FAILED
rgb_gaussian30,small,assatigue,wst,2,,,FAILED
rgb_gaussian30,small,assatigue,wst,5,,,FAILED
rgb_gaussian30,small,assatigue,wst,10,,,FAILED
rgb_gaussian30,small,assatigue,wst,20,,,FAILED
rgb_gaussian30,small,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian30,small,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian30,small,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian30,small,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian30,small,assatigue,hybrid,2,,,FAILED
rgb_gaussian30,small,assatigue,hybrid,5,,,FAILED
rgb_gaussian30,small,assatigue,hybrid,10,,,FAILED
rgb_gaussian30,small,assatigue,hybrid,20,,,FAILED
rgb_gaussian30,small,popolar,wst,2,,,FAILED
rgb_gaussian30,small,popolar,wst,5,,,FAILED
rgb_gaussian30,small,popolar,wst,10,,,FAILED
rgb_gaussian30,small,popolar,wst,20,,,FAILED
rgb_gaussian30,small,popolar,advanced_stats,2,,,FAILED
rgb_gaussian30,small,popolar,advanced_stats,5,,,FAILED
rgb_gaussian30,small,popolar,advanced_stats,10,,,FAILED
rgb_gaussian30,small,popolar,advanced_stats,20,,,FAILED
rgb_gaussian30,small,popolar,hybrid,2,,,FAILED
rgb_gaussian30,small,popolar,hybrid,5,,,FAILED
rgb_gaussian30,small,popolar,hybrid,10,,,FAILED
rgb_gaussian30,small,popolar,hybrid,20,,,FAILED
rgb_gaussian30,small,sunset,wst,2,,,FAILED
rgb_gaussian30,small,sunset,wst,5,,,FAILED
rgb_gaussian30,small,sunset,wst,10,,,FAILED
rgb_gaussian30,small,sunset,wst,20,,,FAILED
rgb_gaussian30,small,sunset,advanced_stats,2,,,FAILED
rgb_gaussian30,small,sunset,advanced_stats,5,,,FAILED
rgb_gaussian30,small,sunset,advanced_stats,10,,,FAILED
rgb_gaussian30,small,sunset,advanced_stats,20,,,FAILED
rgb_gaussian30,small,sunset,hybrid,2,,,FAILED
rgb_gaussian30,small,sunset,hybrid,5,,,FAILED
rgb_gaussian30,small,sunset,hybrid,10,,,FAILED
rgb_gaussian30,small,sunset,hybrid,20,,,FAILED
rgb_gaussian30,original,assatigue,wst,2,,,FAILED
rgb_gaussian30,original,assatigue,wst,5,,,FAILED
rgb_gaussian30,original,assatigue,wst,10,,,FAILED
rgb_gaussian30,original,assatigue,wst,20,,,FAILED
rgb_gaussian30,original,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian30,original,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian30,original,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian30,original,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian30,original,assatigue,hybrid,2,,,FAILED
rgb_gaussian30,original,assatigue,hybrid,5,,,FAILED
rgb_gaussian30,original,assatigue,hybrid,10,,,FAILED
rgb_gaussian30,original,assatigue,hybrid,20,,,FAILED
rgb_gaussian30,original,popolar,wst,2,,,FAILED
rgb_gaussian30,original,popolar,wst,5,,,FAILED
rgb_gaussian30,original,popolar,wst,10,,,FAILED
rgb_gaussian30,original,popolar,wst,20,,,FAILED
rgb_gaussian30,original,popolar,advanced_stats,2,,,FAILED
rgb_gaussian30,original,popolar,advanced_stats,5,,,FAILED
rgb_gaussian30,original,popolar,advanced_stats,10,,,FAILED
rgb_gaussian30,original,popolar,advanced_stats,20,,,FAILED
rgb_gaussian30,original,popolar,hybrid,2,,,FAILED
rgb_gaussian30,original,popolar,hybrid,5,,,FAILED
rgb_gaussian30,original,popolar,hybrid,10,,,FAILED
rgb_gaussian30,original,popolar,hybrid,20,,,FAILED
rgb_gaussian30,original,sunset,wst,2,,,FAILED
rgb_gaussian30,original,sunset,wst,5,,,FAILED
rgb_gaussian30,original,sunset,wst,10,,,FAILED
rgb_gaussian30,original,sunset,wst,20,,,FAILED
rgb_gaussian30,original,sunset,advanced_stats,2,,,FAILED
rgb_gaussian30,original,sunset,advanced_stats,5,,,FAILED
rgb_gaussian30,original,sunset,advanced_stats,10,,,FAILED
rgb_gaussian30,original,sunset,advanced_stats,20,,,FAILED
rgb_gaussian30,original,sunset,hybrid,2,,,FAILED
rgb_gaussian30,original,sunset,hybrid,5,,,FAILED
rgb_gaussian30,original,sunset,hybrid,10,,,FAILED
rgb_gaussian30,original,sunset,hybrid,20,,,FAILED
rgb_gaussian50,mini,assatigue,wst,2,,,FAILED
rgb_gaussian50,mini,assatigue,wst,5,,,FAILED
rgb_gaussian50,mini,assatigue,wst,10,,,FAILED
rgb_gaussian50,mini,assatigue,wst,20,,,FAILED
rgb_gaussian50,mini,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian50,mini,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian50,mini,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian50,mini,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian50,mini,assatigue,hybrid,2,,,FAILED
rgb_gaussian50,mini,assatigue,hybrid,5,,,FAILED
rgb_gaussian50,mini,assatigue,hybrid,10,,,FAILED
rgb_gaussian50,mini,assatigue,hybrid,20,,,FAILED
rgb_gaussian50,mini,popolar,wst,2,,,FAILED
rgb_gaussian50,mini,popolar,wst,5,,,FAILED
rgb_gaussian50,mini,popolar,wst,10,,,FAILED
rgb_gaussian50,mini,popolar,wst,20,,,FAILED
rgb_gaussian50,mini,popolar,advanced_stats,2,,,FAILED
rgb_gaussian50,mini,popolar,advanced_stats,5,,,FAILED
rgb_gaussian50,mini,popolar,advanced_stats,10,,,FAILED
rgb_gaussian50,mini,popolar,advanced_stats,20,,,FAILED
rgb_gaussian50,mini,popolar,hybrid,2,,,FAILED
rgb_gaussian50,mini,popolar,hybrid,5,,,FAILED
rgb_gaussian50,mini,popolar,hybrid,10,,,FAILED
rgb_gaussian50,mini,popolar,hybrid,20,,,FAILED
rgb_gaussian50,mini,sunset,wst,2,,,FAILED
rgb_gaussian50,mini,sunset,wst,5,,,FAILED
rgb_gaussian50,mini,sunset,wst,10,,,FAILED
rgb_gaussian50,mini,sunset,wst,20,,,FAILED
rgb_gaussian50,mini,sunset,advanced_stats,2,,,FAILED
rgb_gaussian50,mini,sunset,advanced_stats,5,,,FAILED
rgb_gaussian50,mini,sunset,advanced_stats,10,,,FAILED
rgb_gaussian50,mini,sunset,advanced_stats,20,,,FAILED
rgb_gaussian50,mini,sunset,hybrid,2,,,FAILED
rgb_gaussian50,mini,sunset,hybrid,5,,,FAILED
rgb_gaussian50,mini,sunset,hybrid,10,,,FAILED
rgb_gaussian50,mini,sunset,hybrid,20,,,FAILED
rgb_gaussian50,small,assatigue,wst,2,,,FAILED
rgb_gaussian50,small,assatigue,wst,5,,,FAILED
rgb_gaussian50,small,assatigue,wst,10,,,FAILED
rgb_gaussian50,small,assatigue,wst,20,,,FAILED
rgb_gaussian50,small,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian50,small,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian50,small,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian50,small,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian50,small,assatigue,hybrid,2,,,FAILED
rgb_gaussian50,small,assatigue,hybrid,5,,,FAILED
rgb_gaussian50,small,assatigue,hybrid,10,,,FAILED
rgb_gaussian50,small,assatigue,hybrid,20,,,FAILED
rgb_gaussian50,small,popolar,wst,2,,,FAILED
rgb_gaussian50,small,popolar,wst,5,,,FAILED
rgb_gaussian50,small,popolar,wst,10,,,FAILED
rgb_gaussian50,small,popolar,wst,20,,,FAILED
rgb_gaussian50,small,popolar,advanced_stats,2,,,FAILED
rgb_gaussian50,small,popolar,advanced_stats,5,,,FAILED
rgb_gaussian50,small,popolar,advanced_stats,10,,,FAILED
rgb_gaussian50,small,popolar,advanced_stats,20,,,FAILED
rgb_gaussian50,small,popolar,hybrid,2,,,FAILED
rgb_gaussian50,small,popolar,hybrid,5,,,FAILED
rgb_gaussian50,small,popolar,hybrid,10,,,FAILED
rgb_gaussian50,small,popolar,hybrid,20,,,FAILED
rgb_gaussian50,small,sunset,wst,2,,,FAILED
rgb_gaussian50,small,sunset,wst,5,,,FAILED
rgb_gaussian50,small,sunset,wst,10,,,FAILED
rgb_gaussian50,small,sunset,wst,20,,,FAILED
rgb_gaussian50,small,sunset,advanced_stats,2,,,FAILED
rgb_gaussian50,small,sunset,advanced_stats,5,,,FAILED
rgb_gaussian50,small,sunset,advanced_stats,10,,,FAILED
rgb_gaussian50,small,sunset,advanced_stats,20,,,FAILED
rgb_gaussian50,small,sunset,hybrid,2,,,FAILED
rgb_gaussian50,small,sunset,hybrid,5,,,FAILED
rgb_gaussian50,small,sunset,hybrid,10,,,FAILED
rgb_gaussian50,small,sunset,hybrid,20,,,FAILED
rgb_gaussian50,original,assatigue,wst,2,,,FAILED
rgb_gaussian50,original,assatigue,wst,5,,,FAILED
rgb_gaussian50,original,assatigue,wst,10,,,FAILED
rgb_gaussian50,original,assatigue,wst,20,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,2,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,5,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,10,,,FAILED
rgb_gaussian50,original,assatigue,advanced_stats,20,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,2,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,5,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,10,,,FAILED
rgb_gaussian50,original,assatigue,hybrid,20,,,FAILED
rgb_gaussian50,original,popolar,wst,2,,,FAILED
rgb_gaussian50,original,popolar,wst,5,,,FAILED
rgb_gaussian50,original,popolar,wst,10,,,FAILED
rgb_gaussian50,original,popolar,wst,20,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,2,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,5,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,10,,,FAILED
rgb_gaussian50,original,popolar,advanced_stats,20,,,FAILED
rgb_gaussian50,original,popolar,hybrid,2,,,FAILED
rgb_gaussian50,original,popolar,hybrid,5,,,FAILED
rgb_gaussian50,original,popolar,hybrid,10,,,FAILED
rgb_gaussian50,original,popolar,hybrid,20,,,FAILED
rgb_gaussian50,original,sunset,wst,2,,,FAILED
rgb_gaussian50,original,sunset,wst,5,,,FAILED
rgb_gaussian50,original,sunset,wst,10,,,FAILED
rgb_gaussian50,original,sunset,wst,20,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,2,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,5,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,10,,,FAILED
rgb_gaussian50,original,sunset,advanced_stats,20,,,FAILED
rgb_gaussian50,original,sunset,hybrid,2,,,FAILED
rgb_gaussian50,original,sunset,hybrid,5,,,FAILED
rgb_gaussian50,original,sunset,hybrid,10,,,FAILED
rgb_gaussian50,original,sunset,hybrid,20,,,FAILED
